Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.16.0.5-192.168.50.4-45427-22081-17,172.16.0.5,45427,192.168.50.4,22081,17,2018-11-03 10:53:16.714699,216498,6,0,2088.0,0.0,393.0,321.0,348.0,35.08845964131227,0.0,0.0,0.0,0.0,9644.430895435524,27.713881883435413,43299.6,59307.01308277125,110412.0,1.0,216498.0,43299.6,59307.01308277125,110412.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,120,0,27.713881883435413,0.0,321.0,393.0,344.1428571428572,33.61759743263722,1130.1428571428569,0,0,0,0,0,0,0,0,0.0,401.5,348.0,0.0,0,0,0,0,0,0,6,2088,0,0,-1,-1,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UDP
172.16.0.5-192.168.50.4-59639-46100-17,172.16.0.5,59639,192.168.50.4,46100,17,2018-11-03 10:58:30.441429,106933,4,0,1398.0,0.0,369.0,330.0,349.5,22.516660498395403,0.0,0.0,0.0,0.0,13073.606837926553,37.40660039463963,35644.33333333333,61735.19826106768,106930.0,1.0,106933.0,35644.33333333333,61735.19826106768,106930.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,37.40660039463963,0.0,330.0,369.0,345.6,21.36117974270148,456.3,0,0,0,0,0,0,0,0,0.0,432.0,349.5,0.0,0,0,0,0,0,0,4,1398,0,0,-1,-1,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UDP
172.16.0.5-192.168.50.4-40267-25443-17,172.16.0.5,40267,192.168.50.4,25443,17,2018-11-03 10:56:55.866793,49,2,0,802.0,0.0,401.0,401.0,401.0,0.0,0.0,0.0,0.0,0.0,16367346.938775511,40816.32653061225,49.0,0.0,49.0,49.0,49.0,49.0,0.0,49.0,49.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,40816.32653061225,0.0,401.0,401.0,401.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,601.5,401.0,0.0,0,0,0,0,0,0,2,802,0,0,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UDP
172.16.0.5-192.168.50.4-50766-14443-17,172.16.0.5,50766,192.168.50.4,14443,17,2018-11-03 10:56:49.844485,1,2,0,750.0,0.0,375.0,375.0,375.0,0.0,0.0,0.0,0.0,0.0,750000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,2000000.0,0.0,375.0,375.0,375.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,562.5,375.0,0.0,0,0,0,0,0,0,2,750,0,0,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UDP
172.16.0.5-192.168.50.4-35344-10158-17,172.16.0.5,35344,192.168.50.4,10158,17,2018-11-03 10:58:11.037193,212888,6,0,2088.0,0.0,393.0,321.0,348.0,35.08845964131227,0.0,0.0,0.0,0.0,9807.974146029836,28.183833752959305,42577.6,58316.90679211303,108404.0,1.0,212888.0,42577.6,58316.90679211303,108404.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,0,28.183833752959305,0.0,321.0,393.0,344.1428571428572,33.61759743263722,1130.1428571428569,0,0,0,0,0,0,0,0,0.0,401.5,348.0,0.0,0,0,0,0,0,0,6,2088,0,0,-1,-1,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UDP
172.16.0.5-192.168.50.4-49697-52185-17,172.16.0.5,49697,192.168.50.4,52185,17,2018-11-03 10:59:59.852335,215355,6,0,2088.0,0.0,393.0,321.0,348.0,35.08845964131227,0.0,0.0,0.0,0.0,9695.618861879224,27.86097374103225,43071.0,58999.84975828329,110069.0,1.0,215355.0,43071.0,58999.84975828329,110069.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,27.860973741032254,0.0,321.0,393.0,344.1428571428572,33.61759743263722,1130.1428571428569,0,0,0,0,0,0,0,0,0.0,401.5,348.0,0.0,0,0,0,0,0,0,6,2088,0,0,-1,-1,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UDP
172.16.0.5-192.168.50.4-36014-26081-17,172.16.0.5,36014,192.168.50.4,26081,17,2018-11-03 10:55:58.343964,212744,6,0,2088.0,0.0,393.0,321.0,348.0,35.08845964131227,0.0,0.0,0.0,0.0,9814.612868047983,28.202910540367768,42548.8,58303.172942816745,109507.0,1.0,212744.0,42548.8,58303.172942816745,109507.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,96,0,28.20291054036777,0.0,321.0,393.0,344.1428571428572,33.61759743263722,1130.1428571428569,0,0,0,0,0,0,0,0,0.0,401.5,348.0,0.0,0,0,0,0,0,0,6,2088,0,0,-1,-1,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UDP
172.16.0.5-192.168.50.4-59788-55573-17,172.16.0.5,59788,192.168.50.4,55573,17,2018-11-03 11:00:17.136952,109107,4,0,1398.0,0.0,369.0,330.0,349.5,22.516660498395403,0.0,0.0,0.0,0.0,12813.110066265226,36.661259130944856,36369.0,62991.22376966493,109105.0,1.0,109107.0,36369.0,62991.22376966493,109105.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,0,36.661259130944856,0.0,330.0,369.0,345.6,21.36117974270148,456.3,0,0,0,0,0,0,0,0,0.0,432.0,349.5,0.0,0,0,0,0,0,0,4,1398,0,0,-1,-1,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UDP
172.16.0.5-192.168.50.4-56046-61407-17,172.16.0.5,56046,192.168.50.4,61407,17,2018-11-03 11:00:58.658025,106579,4,0,1398.0,0.0,369.0,330.0,349.5,22.516660498395403,0.0,0.0,0.0,0.0,13117.030559491082,37.53084566377992,35526.33333333333,61531.68228915356,106577.0,1.0,106579.0,35526.33333333333,61531.68228915356,106577.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,37.53084566377992,0.0,330.0,369.0,345.6,21.36117974270148,456.3,0,0,0,0,0,0,0,0,0.0,432.0,349.5,0.0,0,0,0,0,0,0,4,1398,0,0,-1,-1,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UDP
172.16.0.5-192.168.50.4-34136-53290-17,172.16.0.5,34136,192.168.50.4,53290,17,2018-11-03 10:56:44.694198,984740,20,0,7242.0,0.0,401.0,321.0,362.1,30.127623275169363,0.0,0.0,0.0,0.0,7354.225480837582,20.30992952454455,51828.42105263157,56138.16041232141,110566.0,1.0,984740.0,51828.42105263157,56138.16041232141,110566.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,232,0,20.30992952454455,0.0,321.0,401.0,360.1428571428572,30.703885282298888,942.7285714285706,0,0,0,0,0,0,0,0,0.0,378.15,362.1,0.0,0,0,0,0,0,0,20,7242,0,0,-1,-1,19,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UDP
